time_utc,board_temp,board_volts_core,board_volts_sdram_c,board_volts_sdram_i,board_volts_sdram_p,board_throttled,gps_latitude,gps_longitude,gps_altitude,gps_ascending_rate,gps_speed,gps_heading,capsule_temp,capsule_humidity,capsule_pressure,capsule_baro_altitude,out_temp,out_humidity,out_pressure,out_baro_altitude
2021-04-27T19:38:26.887+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,16379.82,5.00,57.83,257.33,24.54,31.83,952.00269,465.52,24.73,29.54,951.09679,466.62
2021-04-27T19:38:29.443+00:00,48.7,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,16551.24,5.00,57.83,257.33,24.54,31.71,951.93144,465.77,24.72,29.54,951.09062,466.54
2021-04-27T19:38:31.965+00:00,48.2,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,16718.67,5.00,57.83,257.33,24.53,31.96,951.99134,465.89,24.72,29.61,951.05347,466.64
2021-04-27T19:38:34.496+00:00,48.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,17124.17,5.00,57.83,257.33,24.57,31.82,952.01103,466.00,24.76,29.58,951.11019,466.43
2021-04-27T19:38:37.117+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,17289.56,5.00,57.83,257.33,24.55,31.87,951.95973,465.68,24.74,29.57,951.08777,466.44
2021-04-27T19:38:39.642+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,17476.11,5.00,57.83,257.33,24.54,31.93,951.95943,465.77,24.72,29.58,951.11759,466.49
2021-04-27T19:38:42.166+00:00,47.1,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,17622.44,5.00,57.83,257.33,24.54,31.69,951.98274,465.54,24.73,29.46,951.08946,466.49
2021-04-27T19:38:44.759+00:00,48.7,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,18081.61,5.00,57.83,257.33,24.58,31.90,951.96111,466.00,24.76,29.53,951.11299,466.50
2021-04-27T19:38:47.481+00:00,47.6,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,18258.36,5.00,57.83,257.33,24.55,31.78,951.95279,465.71,24.74,29.38,951.11590,466.55
2021-04-27T19:38:50.011+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,18459.25,5.00,57.83,257.33,24.54,31.87,951.94642,465.86,24.73,29.49,951.11928,466.26
2021-04-27T19:38:52.540+00:00,49.2,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,18895.24,5.00,57.83,257.33,24.54,31.70,951.97608,465.59,24.73,29.56,951.08049,466.54
2021-04-27T19:38:55.081+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,19018.21,5.00,57.83,257.33,24.58,31.84,951.97884,465.65,24.77,29.38,951.09045,466.87
2021-04-27T19:38:57.685+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,19177.49,5.00,57.83,257.33,24.54,31.87,951.98441,465.37,24.74,29.47,951.12155,466.57
2021-04-27T19:39:00.213+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,19385.91,5.00,57.83,257.33,24.54,31.69,951.96942,465.40,24.73,29.41,951.11199,466.27
2021-04-27T19:39:02.742+00:00,48.7,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,19805.11,5.00,57.83,257.33,24.54,31.92,951.93478,465.88,24.73,29.50,951.13052,466.27
2021-04-27T19:39:05.271+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,19984.29,5.00,57.83,257.33,24.59,31.78,951.95556,465.85,24.73,29.46,951.09231,466.47
2021-04-27T19:39:07.802+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,20144.24,5.00,57.83,257.33,24.56,31.90,951.93088,465.83,24.74,29.43,951.13949,466.13
2021-04-27T19:39:10.342+00:00,48.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,20400.88,5.00,57.83,257.33,24.55,31.82,951.92949,465.90,24.74,29.47,951.12207,466.79
2021-04-27T19:39:12.857+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,20775.39,5.00,57.83,257.33,24.54,31.71,951.95946,465.83,24.73,29.37,951.12883,466.42
2021-04-27T19:39:15.393+00:00,49.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,20934.45,5.00,57.83,257.33,24.59,31.94,951.95555,465.65,24.73,29.35,951.13663,466.37
2021-04-27T19:39:18.318+00:00,49.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,21133.86,5.00,57.83,257.33,24.55,31.72,951.94946,465.55,24.75,29.63,951.11305,466.25
2021-04-27T19:39:20.870+00:00,49.2,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,21547.57,5.00,57.83,257.33,24.54,31.89,951.94948,465.93,24.73,29.33,951.08893,466.81
2021-04-27T19:39:23.430+00:00,49.2,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,21684.99,5.00,57.83,257.33,24.54,31.84,951.96277,465.73,24.73,29.45,951.12207,466.92
2021-04-27T19:39:25.967+00:00,49.2,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,21837.13,5.00,57.83,257.33,24.54,31.99,951.99106,465.56,24.73,29.52,951.12534,466.30
2021-04-27T19:39:28.626+00:00,49.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,22239.80,5.00,57.83,257.33,24.57,31.82,951.95251,465.74,24.74,29.49,951.08829,466.52
2021-04-27T19:39:31.157+00:00,49.2,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,22471.40,5.00,57.83,257.33,24.55,31.70,951.95251,465.69,24.73,29.44,951.10349,466.51
2021-04-27T19:39:33.683+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,22632.31,5.00,57.83,257.33,24.56,31.75,951.96082,465.61,24.73,29.36,951.08777,466.79
2021-04-27T19:39:36.233+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,22839.89,5.00,57.83,257.33,24.54,31.84,951.96276,465.59,24.73,29.49,951.07315,466.61
2021-04-27T19:39:38.798+00:00,51.4,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,23268.41,5.00,57.83,257.33,24.58,31.81,951.98079,465.50,24.74,29.42,951.09895,466.62
2021-04-27T19:39:41.370+00:00,49.2,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,23474.65,5.00,57.83,257.33,24.56,31.73,951.97746,465.67,24.74,29.49,951.06919,466.45
2021-04-27T19:39:43.890+00:00,51.4,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,23701.35,5.00,57.83,257.33,24.55,31.87,951.94585,465.48,24.73,29.49,951.06640,466.36
2021-04-27T19:39:46.538+00:00,48.7,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,23975.67,5.00,57.83,257.33,24.55,31.76,951.96914,465.53,24.74,29.45,951.11578,466.38
2021-04-27T19:39:49.287+00:00,48.7,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,24239.79,5.00,57.83,257.33,24.57,31.54,951.98687,465.59,24.75,29.64,951.09726,466.26
2021-04-27T19:39:51.859+00:00,50.8,1.35,1.2,1.2,1.225,0x0,47.074600,7.307700,24437.74,5.00,57.83,257.33,24.57,31.75,951.92922,465.44,24.74,29.43,951.12935,466.38
2021-04-27T19:39:54.375+00:00,49.8,1.2,1.2,1.2,1.225,0x0,47.074600,7.307700,24683.03,5.00,57.83,257.33,24.56,31.76,951.95418,465.57,24.73,29.40,951.05789,466.37
